case_id,fir_number,filed_date,modus_operandi,weapon_type,status,narrative_kn,narrative_en,location_id,sensitivity_level
KA-2026-00043,FIR/2026/1096,2026-06-13,ATM tampering attempt,none (cyber/no physical weapon),under investigation,"Tumakuru ಪ್ರದೇಶದಲ್ಲಿ ಎಟಿಎಂ ಕುತಂತ್ರ ಪ್ರಯತ್ನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 07:17. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.",A case of ATM tampering attempt was registered in Tumakuru. Incident occurred around 07:17. No weapon was involved. Current status: under investigation.,LOC-debddecb,standard
KA-2024-00044,FIR/2024/8956,2024-12-06,ATM tampering attempt,knife,pending forensic report,"Ballari ಪ್ರದೇಶದಲ್ಲಿ ಎಟಿಎಂ ಕುತಂತ್ರ ಪ್ರಯತ್ನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 20:37. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",A case of ATM tampering attempt was registered in Ballari. Incident occurred around 20:37. A knife was reportedly involved. Current status: pending forensic report.,LOC-42b2061e,restricted
KA-2026-00045,FIR/2026/8022,2026-05-26,two-wheeler theft from parking area,none,pending forensic report,Ballari ನಲ್ಲಿ 18:03 ಸಮಯದಲ್ಲಿ ಪಾರ್ಕಿಂಗ್ ಪ್ರದೇಶದಿಂದ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.,Complainant reported a two-wheeler theft from parking area at approximately 18:03 in Ballari. No weapon was involved. Case status: pending forensic report.,LOC-17217a9c,standard
KA-2025-00046,FIR/2025/7906,2025-06-08,chain snatching on foot near market,none (cyber/no physical weapon),closed,"Mangaluru ಪ್ರದೇಶದಲ್ಲಿ ಮಾರುಕಟ್ಟೆ ಬಳಿ ನಡೆದುಕೊಂಡು ಸರಗಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 06:55. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.",A case of chain snatching on foot near market was registered in Mangaluru. Incident occurred around 06:55. No weapon was involved. Current status: closed.,LOC-ca21c162,standard
KA-2024-00047,FIR/2024/4266,2024-03-03,shop burglary after business hours,knife,under investigation,Tumakuru ನಲ್ಲಿ 12:55 ಸಮಯದಲ್ಲಿ ವ್ಯಾಪಾರದ ಸಮಯದ ನಂತರ ಅಂಗಡಿ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.,Complainant reported a shop burglary after business hours at approximately 12:55 in Tumakuru. A knife was reportedly involved. Case status: under investigation.,LOC-57e7bc17,standard
KA-2025-00048,FIR/2025/2876,2025-02-02,residential break-in via forced door lock,knife,pending forensic report,Mangaluru ನಲ್ಲಿ 01:27 ಸಮಯದಲ್ಲಿ ಬಾಗಿಲಿನ ಬೀಗ ಮುರಿದು ಮನೆ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.,A case of residential break-in via forced door lock was registered in Mangaluru. Incident occurred around 01:27. A knife was reportedly involved. Current status: pending forensic report.,LOC-17e5ffff,standard
KA-2024-00049,FIR/2024/2669,2024-11-04,chain snatching using two-wheeler,none (cyber/no physical weapon),pending forensic report,Hubballi-Dharwad ನಲ್ಲಿ 02:16 ಸಮಯದಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಬಳಸಿ ಸರಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.,Complainant reported a chain snatching using two-wheeler at approximately 02:16 in Hubballi-Dharwad. No weapon was involved. Case status: pending forensic report.,LOC-abab2dbf,standard
KA-2026-00050,FIR/2026/2129,2026-04-07,cyber fraud via fake job offer,none,closed,"Davanagere ಪ್ರದೇಶದಲ್ಲಿ ನಕಲಿ ಉದ್ಯೋಗ ನೀಡಿಕೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 14:10. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.",A case of cyber fraud via fake job offer was registered in Davanagere. Incident occurred around 14:10. No weapon was involved. Current status: closed.,LOC-e3555bc1,standard
KA-2025-00051,FIR/2025/3885,2025-12-15,residential break-in via forced door lock,none (cyber/no physical weapon),closed,"Bengaluru Urban ಪ್ರದೇಶದಲ್ಲಿ ಬಾಗಿಲಿನ ಬೀಗ ಮುರಿದು ಮನೆ ಕಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 04:19. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.",Complainant reported a residential break-in via forced door lock at approximately 04:19 in Bengaluru Urban. No weapon was involved. Case status: closed.,LOC-e698308f,standard
KA-2025-00052,FIR/2025/2419,2025-02-20,pickpocketing in crowded transit area,none (cyber/no physical weapon),pending forensic report,Hubballi-Dharwad ನಲ್ಲಿ 22:30 ಸಮಯದಲ್ಲಿ ಜನನಿಬಿಡ ಸ್ಥಳದಲ್ಲಿ ಜೇಬುಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.,A case of pickpocketing in crowded transit area was registered in Hubballi-Dharwad. Incident occurred around 22:30. No weapon was involved. Current status: pending forensic report.,LOC-c76be2fe,standard
KA-2026-00053,FIR/2026/8988,2026-02-06,ATM tampering attempt,blunt object,under investigation,Belagavi ನಲ್ಲಿ 21:04 ಸಮಯದಲ್ಲಿ ಎಟಿಎಂ ಕುತಂತ್ರ ಪ್ರಯತ್ನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.,A case of ATM tampering attempt was registered in Belagavi. Incident occurred around 21:04. A blunt object was reportedly involved. Current status: under investigation.,LOC-1e18bcd6,standard
KA-2024-00054,FIR/2024/9004,2024-05-12,chain snatching using two-wheeler,none,chargesheet filed,"Kalaburagi ಪ್ರದೇಶದಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಬಳಸಿ ಸರಗಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 23:52. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.",Complainant reported a chain snatching using two-wheeler at approximately 23:52 in Kalaburagi. No weapon was involved. Case status: chargesheet filed.,LOC-7cbdccba,standard
KA-2024-00055,FIR/2024/6016,2024-12-10,residential break-in via rear window,none,closed,Tumakuru ನಲ್ಲಿ 05:42 ಸಮಯದಲ್ಲಿ ಹಿಂಬದಿ ಕಿಟಕಿಯ ಮೂಲಕ ಮನೆ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.,A case of residential break-in via rear window was registered in Tumakuru. Incident occurred around 05:42. No weapon was involved. Current status: closed.,LOC-659c63f0,standard
KA-2025-00056,FIR/2025/5118,2025-12-05,cyber fraud via phishing call,blunt object,closed,"Tumakuru ಪ್ರದೇಶದಲ್ಲಿ ಫಿಶಿಂಗ್ ಕರೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 20:50. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.",A case of cyber fraud via phishing call was registered in Tumakuru. Incident occurred around 20:50. A blunt object was reportedly involved. Current status: closed.,LOC-27afb41e,standard
KA-2026-00057,FIR/2026/2647,2026-01-22,two-wheeler theft from parking area,knife,chargesheet filed,"Belagavi ಪ್ರದೇಶದಲ್ಲಿ ಪಾರ್ಕಿಂಗ್ ಪ್ರದೇಶದಿಂದ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 04:13. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.",A case of two-wheeler theft from parking area was registered in Belagavi. Incident occurred around 04:13. A knife was reportedly involved. Current status: chargesheet filed.,LOC-1e18bcd6,standard
KA-2024-00058,FIR/2024/3068,2024-03-11,cyber fraud via phishing call,knife,closed,"Belagavi ಪ್ರದೇಶದಲ್ಲಿ ಫಿಶಿಂಗ್ ಕರೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 16:56. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.",Complainant reported a cyber fraud via phishing call at approximately 16:56 in Belagavi. A knife was reportedly involved. Case status: closed.,LOC-8abc449f,standard
KA-2025-00059,FIR/2025/5136,2025-06-13,pickpocketing in crowded transit area,none (cyber/no physical weapon),pending forensic report,Mysuru ನಲ್ಲಿ 06:26 ಸಮಯದಲ್ಲಿ ಜನನಿಬಿಡ ಸ್ಥಳದಲ್ಲಿ ಜೇಬುಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.,Complainant reported a pickpocketing in crowded transit area at approximately 06:26 in Mysuru. No weapon was involved. Case status: pending forensic report.,LOC-293993da,standard
KA-2024-00060,FIR/2024/5066,2024-08-19,residential break-in via forced door lock,none,chargesheet filed,Mysuru ನಲ್ಲಿ 18:29 ಸಮಯದಲ್ಲಿ ಬಾಗಿಲಿನ ಬೀಗ ಮುರಿದು ಮನೆ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.,A case of residential break-in via forced door lock was registered in Mysuru. Incident occurred around 18:29. No weapon was involved. Current status: chargesheet filed.,LOC-c8e888c0,standard
KA-2025-00061,FIR/2025/6003,2025-11-18,cyber fraud via phishing call,none (cyber/no physical weapon),pending forensic report,"Davanagere ಪ್ರದೇಶದಲ್ಲಿ ಫಿಶಿಂಗ್ ಕರೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 17:50. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",A case of cyber fraud via phishing call was registered in Davanagere. Incident occurred around 17:50. No weapon was involved. Current status: pending forensic report.,LOC-e917dece,standard
KA-2024-00062,FIR/2024/3847,2024-05-06,chain snatching on foot near market,knife,closed,Davanagere ನಲ್ಲಿ 02:53 ಸಮಯದಲ್ಲಿ ಮಾರುಕಟ್ಟೆ ಬಳಿ ನಡೆದುಕೊಂಡು ಸರಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.,Complainant reported a chain snatching on foot near market at approximately 02:53 in Davanagere. A knife was reportedly involved. Case status: closed.,LOC-a7db6519,standard
KA-2024-00063,FIR/2024/8438,2024-12-25,pickpocketing in crowded transit area,blunt object,under investigation,"Bengaluru Urban ಪ್ರದೇಶದಲ್ಲಿ ಜನನಿಬಿಡ ಸ್ಥಳದಲ್ಲಿ ಜೇಬುಗಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 14:03. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.",A case of pickpocketing in crowded transit area was registered in Bengaluru Urban. Incident occurred around 14:03. A blunt object was reportedly involved. Current status: under investigation.,LOC-a1b34319,standard
KA-2026-00064,FIR/2026/5352,2026-04-25,chain snatching on foot near market,none (cyber/no physical weapon),under investigation,Hubballi-Dharwad ನಲ್ಲಿ 22:45 ಸಮಯದಲ್ಲಿ ಮಾರುಕಟ್ಟೆ ಬಳಿ ನಡೆದುಕೊಂಡು ಸರಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.,Complainant reported a chain snatching on foot near market at approximately 22:45 in Hubballi-Dharwad. No weapon was involved. Case status: under investigation.,LOC-026f7c02,standard
KA-2024-00065,FIR/2024/7594,2024-07-12,cyber fraud via fake job offer,blunt object,pending forensic report,"Bengaluru Urban ಪ್ರದೇಶದಲ್ಲಿ ನಕಲಿ ಉದ್ಯೋಗ ನೀಡಿಕೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 04:14. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",A case of cyber fraud via fake job offer was registered in Bengaluru Urban. Incident occurred around 04:14. A blunt object was reportedly involved. Current status: pending forensic report.,LOC-50abd51f,standard
KA-2025-00066,FIR/2025/4750,2025-01-23,residential break-in via rear window,none (cyber/no physical weapon),closed,Shivamogga ನಲ್ಲಿ 22:23 ಸಮಯದಲ್ಲಿ ಹಿಂಬದಿ ಕಿಟಕಿಯ ಮೂಲಕ ಮನೆ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.,Complainant reported a residential break-in via rear window at approximately 22:23 in Shivamogga. No weapon was involved. Case status: closed.,LOC-ebf2e9db,standard
KA-2025-00067,FIR/2025/3973,2025-12-31,chain snatching using two-wheeler,none,chargesheet filed,"Davanagere ಪ್ರದೇಶದಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಬಳಸಿ ಸರಗಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 21:32. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.",A case of chain snatching using two-wheeler was registered in Davanagere. Incident occurred around 21:32. No weapon was involved. Current status: chargesheet filed.,LOC-1961fc6f,standard
KA-2024-00068,FIR/2024/7744,2024-06-11,ATM tampering attempt,blunt object,closed,"Tumakuru ಪ್ರದೇಶದಲ್ಲಿ ಎಟಿಎಂ ಕುತಂತ್ರ ಪ್ರಯತ್ನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 11:45. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.",Complainant reported a ATM tampering attempt at approximately 11:45 in Tumakuru. A blunt object was reportedly involved. Case status: closed.,LOC-debddecb,standard
KA-2025-00069,FIR/2025/7622,2025-01-27,pickpocketing in crowded transit area,none,closed,Ballari ನಲ್ಲಿ 02:06 ಸಮಯದಲ್ಲಿ ಜನನಿಬಿಡ ಸ್ಥಳದಲ್ಲಿ ಜೇಬುಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.,A case of pickpocketing in crowded transit area was registered in Ballari. Incident occurred around 02:06. No weapon was involved. Current status: closed.,LOC-e1b15159,standard
KA-2025-00070,FIR/2025/5375,2025-11-17,cyber fraud via phishing call,blunt object,pending forensic report,Shivamogga ನಲ್ಲಿ 16:28 ಸಮಯದಲ್ಲಿ ಫಿಶಿಂಗ್ ಕರೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.,Complainant reported a cyber fraud via phishing call at approximately 16:28 in Shivamogga. A blunt object was reportedly involved. Case status: pending forensic report.,LOC-c21c2fe1,standard
KA-2025-00071,FIR/2025/2527,2025-04-27,residential break-in via rear window,knife,chargesheet filed,"Tumakuru ಪ್ರದೇಶದಲ್ಲಿ ಹಿಂಬದಿ ಕಿಟಕಿಯ ಮೂಲಕ ಮನೆ ಕಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 17:36. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.",Complainant reported a residential break-in via rear window at approximately 17:36 in Tumakuru. A knife was reportedly involved. Case status: chargesheet filed.,LOC-8bebebb4,standard
KA-2026-00072,FIR/2026/8905,2026-03-01,two-wheeler theft from parking area,none (cyber/no physical weapon),closed,"Tumakuru ಪ್ರದೇಶದಲ್ಲಿ ಪಾರ್ಕಿಂಗ್ ಪ್ರದೇಶದಿಂದ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 12:07. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.",A case of two-wheeler theft from parking area was registered in Tumakuru. Incident occurred around 12:07. No weapon was involved. Current status: closed.,LOC-967b3156,standard
KA-2025-00073,FIR/2025/9318,2025-03-05,cyber fraud via fake job offer,knife,under investigation,"Tumakuru ಪ್ರದೇಶದಲ್ಲಿ ನಕಲಿ ಉದ್ಯೋಗ ನೀಡಿಕೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 03:14. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.",A case of cyber fraud via fake job offer was registered in Tumakuru. Incident occurred around 03:14. A knife was reportedly involved. Current status: under investigation.,LOC-fe68a7f0,standard
KA-2025-00074,FIR/2025/6446,2025-11-24,cyber fraud via fake job offer,none (cyber/no physical weapon),chargesheet filed,"Hubballi-Dharwad ಪ್ರದೇಶದಲ್ಲಿ ನಕಲಿ ಉದ್ಯೋಗ ನೀಡಿಕೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 16:29. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.",A case of cyber fraud via fake job offer was registered in Hubballi-Dharwad. Incident occurred around 16:29. No weapon was involved. Current status: chargesheet filed.,LOC-2c475c2b,standard
KA-2024-00075,FIR/2024/6213,2024-12-28,chain snatching on foot near market,knife,pending forensic report,Ballari ನಲ್ಲಿ 19:50 ಸಮಯದಲ್ಲಿ ಮಾರುಕಟ್ಟೆ ಬಳಿ ನಡೆದುಕೊಂಡು ಸರಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.,A case of chain snatching on foot near market was registered in Ballari. Incident occurred around 19:50. A knife was reportedly involved. Current status: pending forensic report.,LOC-102cfde3,standard
KA-2024-00076,FIR/2024/8213,2024-07-15,two-wheeler theft from parking area,none (cyber/no physical weapon),under investigation,Ballari ನಲ್ಲಿ 02:48 ಸಮಯದಲ್ಲಿ ಪಾರ್ಕಿಂಗ್ ಪ್ರದೇಶದಿಂದ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.,A case of two-wheeler theft from parking area was registered in Ballari. Incident occurred around 02:48. No weapon was involved. Current status: under investigation.,LOC-17217a9c,standard
KA-2025-00077,FIR/2025/2315,2025-02-15,two-wheeler theft from parking area,none,pending forensic report,"Bengaluru Urban ಪ್ರದೇಶದಲ್ಲಿ ಪಾರ್ಕಿಂಗ್ ಪ್ರದೇಶದಿಂದ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 16:45. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",A case of two-wheeler theft from parking area was registered in Bengaluru Urban. Incident occurred around 16:45. No weapon was involved. Current status: pending forensic report.,LOC-e698308f,standard
KA-2024-00078,FIR/2024/2480,2024-12-30,pickpocketing in crowded transit area,none,under investigation,Shivamogga ನಲ್ಲಿ 16:52 ಸಮಯದಲ್ಲಿ ಜನನಿಬಿಡ ಸ್ಥಳದಲ್ಲಿ ಜೇಬುಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.,A case of pickpocketing in crowded transit area was registered in Shivamogga. Incident occurred around 16:52. No weapon was involved. Current status: under investigation.,LOC-355b1478,standard
KA-2024-00079,FIR/2024/7141,2024-03-28,residential break-in via rear window,none,closed,"Mysuru ಪ್ರದೇಶದಲ್ಲಿ ಹಿಂಬದಿ ಕಿಟಕಿಯ ಮೂಲಕ ಮನೆ ಕಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 04:16. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.",A case of residential break-in via rear window was registered in Mysuru. Incident occurred around 04:16. No weapon was involved. Current status: closed.,LOC-fa94b86e,standard
KA-2024-00080,FIR/2024/9153,2024-05-02,two-wheeler theft from parking area,knife,chargesheet filed,Shivamogga ನಲ್ಲಿ 16:09 ಸಮಯದಲ್ಲಿ ಪಾರ್ಕಿಂಗ್ ಪ್ರದೇಶದಿಂದ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.,A case of two-wheeler theft from parking area was registered in Shivamogga. Incident occurred around 16:09. A knife was reportedly involved. Current status: chargesheet filed.,LOC-754e9341,standard
KA-2025-00081,FIR/2025/8237,2025-03-22,chain snatching using two-wheeler,none,pending forensic report,Belagavi ನಲ್ಲಿ 19:41 ಸಮಯದಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಬಳಸಿ ಸರಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.,Complainant reported a chain snatching using two-wheeler at approximately 19:41 in Belagavi. No weapon was involved. Case status: pending forensic report.,LOC-5ba65b80,standard
KA-2024-00082,FIR/2024/2747,2024-11-05,chain snatching using two-wheeler,none (cyber/no physical weapon),closed,"Hubballi-Dharwad ಪ್ರದೇಶದಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಬಳಸಿ ಸರಗಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 11:20. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.",A case of chain snatching using two-wheeler was registered in Hubballi-Dharwad. Incident occurred around 11:20. No weapon was involved. Current status: closed.,LOC-fcc578a4,standard
KA-2025-00083,FIR/2025/9138,2025-03-02,chain snatching using two-wheeler,none,pending forensic report,Kalaburagi ನಲ್ಲಿ 09:22 ಸಮಯದಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಬಳಸಿ ಸರಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.,Complainant reported a chain snatching using two-wheeler at approximately 09:22 in Kalaburagi. No weapon was involved. Case status: pending forensic report.,LOC-01faf156,standard
KA-2024-00084,FIR/2024/8222,2024-05-30,chain snatching on foot near market,blunt object,chargesheet filed,"Belagavi ಪ್ರದೇಶದಲ್ಲಿ ಮಾರುಕಟ್ಟೆ ಬಳಿ ನಡೆದುಕೊಂಡು ಸರಗಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 22:32. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.",Complainant reported a chain snatching on foot near market at approximately 22:32 in Belagavi. A blunt object was reportedly involved. Case status: chargesheet filed.,LOC-9963984c,restricted
KA-2024-00085,FIR/2024/3695,2024-07-24,ATM tampering attempt,knife,chargesheet filed,"Mangaluru ಪ್ರದೇಶದಲ್ಲಿ ಎಟಿಎಂ ಕುತಂತ್ರ ಪ್ರಯತ್ನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 07:16. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.",A case of ATM tampering attempt was registered in Mangaluru. Incident occurred around 07:16. A knife was reportedly involved. Current status: chargesheet filed.,LOC-b2d7c0a8,standard
